SNo.,StateCode,State Name,Active Cases (Yesterday),Positive Cases (Yesterday),Cured Cases (Yesterday),Death Cases (Yesterday),Active Cases (Today),Positive Cases (Today),Cured Cases (Today),Death Cases (Today),Last Updated (UTC)
1,28,Andhra Pradesh,14922,2018200,1989391,13887,14883,2019702,1990916,13903,05/09/2021 16:05:48
2,35,Andaman and Nicobar Islands,9,7570,7432,129,7,7572,7436,129,05/09/2021 16:05:48
3,12,Arunachal Pradesh,793,53217,52162,262,762,53302,52276,264,05/09/2021 16:05:48
4,18,Assam,6505,591117,578929,5683,6403,591659,579563,5693,05/09/2021 16:05:48
5,10,Bihar,80,725734,716000,9654,66,725745,716025,9654,05/09/2021 16:05:48
6,04,Chandigarh,40,65114,64260,814,43,65119,64262,814,05/09/2021 16:05:48
7,22,Chhattisgarh,381,1004565,990628,13556,381,1004611,990674,13556,05/09/2021 16:05:48
8,26,Dadra and Nagar Haveli and Daman and Diu,6,10665,10655,4,5,10665,10656,4,05/09/2021 16:05:48
10,07,Delhi,362,1437874,1412430,25082,354,1437929,1412493,25082,05/09/2021 16:05:48
11,30,Goa,896,174250,170151,3203,922,174347,170222,3203,05/09/2021 16:05:48
12,24,Gujarat,149,825461,815230,10082,148,825476,815246,10082,05/09/2021 16:05:48
13,06,Haryana,645,770534,760208,9681,639,770543,760221,9683,05/09/2021 16:05:48
14,02,Himachal Pradesh,1767,214193,208818,3608,1758,214408,209041,3609,05/09/2021 16:05:48
15,01,Jammu and Kashmir,1380,325714,319925,4409,1327,325830,320093,4410,05/09/2021 16:05:48
16,20,Jharkhand,141,347933,342660,5132,133,347942,342676,5133,05/09/2021 16:05:48
17,29,Karnataka,18430,2953064,2897254,37380,17772,2954047,2898874,37401,05/09/2021 16:05:48
18,32,Kerala,246989,4151455,3883186,21280,250619,4181137,3909096,21422,05/09/2021 16:05:48
19,37,Ladakh,70,20576,20299,207,59,20578,20312,207,05/09/2021 16:05:48
20,31,Lakshadweep,22,10348,10275,51,13,10348,10284,51,05/09/2021 16:05:48
21,23,Madhya Pradesh,101,792215,781598,10516,114,792237,781607,10516,05/09/2021 16:05:48
22,27,Maharashtra,53999,6477987,6286345,137643,55559,6482117,6288851,137707,05/09/2021 16:05:48
23,14,Manipur,3267,114774,109715,1792,3278,115077,110003,1796,05/09/2021 16:05:48
24,17,Meghalaya,2295,76504,72886,1323,2206,76767,73236,1325,05/09/2021 16:05:48
25,15,Mizoram,10517,62817,52080,220,10981,63784,52581,222,05/09/2021 16:05:48
26,13,Nagaland,757,30244,28861,626,751,30302,28925,626,05/09/2021 16:05:48
27,21,Odisha,6563,1010072,995474,8035,6413,1010753,996300,8040,05/09/2021 16:05:48
28,34,Puducherry,894,123929,121220,1815,937,124049,121296,1816,05/09/2021 16:05:48
29,03,Punjab,351,600745,583957,16437,344,600780,583997,16439,05/09/2021 16:05:48
30,08,Rajasthan,86,954116,945076,8954,86,954126,945086,8954,05/09/2021 16:05:48
31,11,Sikkim,989,30070,28708,373,983,30163,28807,373,05/09/2021 16:05:48
32,33,Tamil Nadu,16370,2619511,2568161,34980,16315,2621086,2569771,35000,05/09/2021 16:05:48
33,16,Tripura,826,83197,81568,803,792,83284,81689,803,05/09/2021 16:05:48
34,36,Telangana,5736,659007,649391,3880,5673,659313,649757,3883,05/09/2021 16:05:48
35,05,Uttarakhand,410,343070,335273,7387,393,343084,335303,7388,05/09/2021 16:05:48
36,09,Uttar Pradesh,239,1709401,1686308,22854,250,1709427,1686323,22854,05/09/2021 16:05:48
37,19,West Bengal,8694,1550664,1523487,18483,8679,1551364,1524194,18491,05/09/2021 16:05:48
