SNo.,StateCode,State Name,Active Cases (Yesterday),Positive Cases (Yesterday),Cured Cases (Yesterday),Death Cases (Yesterday),Active Cases (Today),Positive Cases (Today),Cured Cases (Today),Death Cases (Today),Last Updated (UTC)
1,28,Andhra Pradesh,10357,2052763,2028202,14204,9753,2053192,2029231,14208,05/10/2021 16:07:13
2,35,Andaman and Nicobar Islands,9,7623,7485,129,10,7624,7485,129,05/10/2021 16:07:13
3,12,Arunachal Pradesh,408,54725,54040,277,414,54752,54061,277,05/10/2021 16:07:13
4,18,Assam,4186,602905,592838,5881,4196,603238,593152,5890,05/10/2021 16:07:13
5,10,Bihar,38,725968,716269,9661,31,725971,716279,9661,05/10/2021 16:07:13
6,04,Chandigarh,34,65237,64384,819,38,65243,64386,819,05/10/2021 16:07:13
7,22,Chhattisgarh,254,1005402,991582,13566,232,1005412,991612,13568,05/10/2021 16:07:13
8,26,Dadra and Nagar Haveli and Daman and Diu,0,10670,10666,4,2,10672,10666,4,05/10/2021 16:07:13
10,07,Delhi,386,1438966,1413492,25088,398,1439000,1413514,25088,05/10/2021 16:07:13
11,30,Goa,773,176638,172548,3317,729,176681,172632,3320,05/10/2021 16:07:13
12,24,Gujarat,180,826002,815740,10082,172,826016,815762,10082,05/10/2021 16:07:13
13,06,Haryana,286,770915,760755,9874,280,770924,760770,9874,05/10/2021 16:07:13
14,02,Himachal Pradesh,1472,219400,214247,3681,1409,219591,214497,3685,05/10/2021 16:07:13
15,01,Jammu and Kashmir,1201,329789,324164,4424,1157,329889,324308,4424,05/10/2021 16:07:13
16,20,Jharkhand,98,348264,343031,5135,90,348272,343047,5135,05/10/2021 16:07:13
17,29,Karnataka,12330,2977889,2927740,37819,12021,2978286,2928433,37832,05/10/2021 16:07:13
18,32,Kerala,137630,4720206,4557199,25377,129324,4729056,4574206,25526,05/10/2021 16:07:13
19,37,Ladakh,52,20822,20563,207,50,20825,20568,207,05/10/2021 16:07:13
20,31,Lakshadweep,0,10361,10310,51,0,10361,10310,51,05/10/2021 16:07:13
21,23,Madhya Pradesh,117,792556,781917,10522,123,792570,781925,10522,05/10/2021 16:07:13
22,27,Maharashtra,39472,6559349,6380670,139207,37222,6562514,6386059,139233,05/10/2021 16:07:13
23,14,Manipur,2262,121046,116922,1862,2202,121146,117076,1868,05/10/2021 16:07:13
24,17,Meghalaya,1547,81747,78793,1407,1494,81859,78957,1408,05/10/2021 16:07:13
25,15,Mizoram,15270,98175,82585,320,15909,99856,83619,328,05/10/2021 16:07:13
26,13,Nagaland,329,31312,30317,666,313,31322,30343,666,05/10/2021 16:07:13
27,21,Odisha,4727,1027959,1015018,8214,4538,1028366,1015608,8220,05/10/2021 16:07:13
28,34,Puducherry,709,126545,123995,1841,654,126587,124091,1842,05/10/2021 16:07:13
29,03,Punjab,286,601722,584916,16520,272,601739,584946,16521,05/10/2021 16:07:13
30,08,Rajasthan,58,954338,945326,8954,57,954342,945331,8954,05/10/2021 16:07:13
31,11,Sikkim,493,31525,30644,388,450,31537,30699,388,05/10/2021 16:07:13
32,33,Tamil Nadu,16972,2668495,2615873,35650,16864,2669962,2617432,35666,05/10/2021 16:07:13
33,16,Tripura,169,84178,83194,815,165,84192,83212,815,05/10/2021 16:07:13
34,36,Telangana,4455,666546,658170,3921,4421,666753,658409,3923,05/10/2021 16:07:13
35,05,Uttarakhand,152,343567,336020,7395,150,343584,336039,7395,05/10/2021 16:07:13
36,09,Uttar Pradesh,159,1709857,1686804,22894,158,1709873,1686821,22894,05/10/2021 16:07:13
37,19,West Bengal,7587,1571240,1544828,18825,7604,1571841,1545400,18837,05/10/2021 16:07:13
